Name,Location,Distance_from_IIIT,Vibe,Budget,Is_Veg,Signature_Dishes,Reviews
"Tunday Kababi","Aminabad",14.5,"Bustling, Historic, Crowded",250,False,"Galouti Kebab, Ulte Tawa Ka Paratha","Legendary melt-in-mouth kebabs. Always crowded but worth the hype. A must-visit for meat lovers."
"Royal Cafe","Hazratganj",12.0,"Family-friendly, Lively",400,False,"Basket Chaat, Chole Bhature","The Basket Chaat is massive and iconic. Great place for family dinners and street food cravings."
"Sky Glass Brewing Co.","Phoenix Palassio",3.5,"Premium, Rooftop, Party",1200,False,"Craft Beer, Wood-fired Pizza, Peri Peri Chicken","Amazing ambience with glass floors. Perfect for weekend parties but definitely on the expensive side."
"Dastarkhwan","Hazratganj",11.5,"Traditional, Casual, Fast-paced",350,False,"Chicken Masala, Mutton Biryani, Roomali Roti","Best Mughlai food in the city. The Chicken Masala is incredibly rich and spicy."
"Sharma Ji Ki Chai","Hazratganj",11.0,"Street-side, Morning spot, Chill",100,True,"Bun Makkhan, Kulhad Chai, Samosa","The ultimate morning hangout spot. The round samosas and sweet tea are a local emotion."
"The Hazelnut Factory","Gomti Nagar",8.5,"Aesthetic, Cozy, Instagrammable",500,True,"Blueberry Cheesecake, Frappe, Baked Nachos","Beautiful interiors, pure veg cafe, and the best desserts in Lucknow. Great for dates or studying."
"Idrees Biryani","Chowk",16.0,"Street food, Raw, Authentic",200,False,"Mutton Biryani","Considered by many as the best Awadhi biryani in Lucknow. Sells out very fast in the afternoon."
"Barbeque Nation","Phoenix Palassio",3.5,"Buffet, Celebratory, Lively",900,False,"Grilled Prawns, Cajun Spiced Potatoes, Kulfi","Standard unlimited buffet experience right next to campus. Great for large birthday treats."
"Bikanervala","Gomti Nagar Extension",5.0,"Bright, Family dining, Clean",350,True,"Raj Kachori, Deluxe Thali, Rasgulla","Reliable, hygienic pure vegetarian food. Good spot for North Indian thalis and chaat."
"The Drowning Street","Rohtas Summit",10.0,"Lounge, Upbeat, Nightlife",1500,False,"Cocktails, Dim Sums, Spring Rolls","High-energy lounge in Gomti Nagar. Excellent music and drinks, but high budget."
"Vintage Machine","Gomti Nagar",9.0,"Rustic, European, Relaxed",700,False,"Alfredo Pasta, Cappuccino, Mezze Platter","One of the first aesthetic cafes in Lucknow. Great Italian food and strong coffee."
"Rahims Kulcha Nahari","Chowk",16.5,"Historic, Crowded, Street-side",150,False,"Mutton Nahari, Kulcha","A winter morning staple. The slow-cooked meat with fluffy kulchas is unforgettable."
"Cafe Delhi Heights","Phoenix Palassio",3.5,"Quirky, Casual, Fusion",800,False,"Juicy Lucy Burger, ISBT Makhani Maggi","Massive portions and fun fusion food. Super close to IIIT for a premium weekend meal."
"Nainital Momos","Gomti Nagar",9.5,"Casual, Quick bite",250,False,"Dragon Fire Momos, Thukpa","Spicy and experimental momos. A favorite hangout spot for college students."
"Bati Chokha Restaurant","Gomti Nagar",8.0,"Rustic, Village theme, Traditional",300,True,"Dal Bati Churma, Litti Chokha","Authentic UP and Bihar cuisine. Pure veg and served in an aesthetic village-style setting."
"CG City Dhaba","Chak Ganjaria",1.5,"Dhaba, Late night, Casual",200,False,"Butter Chicken, Dal Tadka, Tandoori Roti","The closest spot to IIIT Lucknow campus. Open late, cheap, and satisfies midnight cravings."
"Prakash Ki Kulfi","Aminabad",14.5,"Dessert parlor, Quick",100,True,"Falooda Kulfi","The most famous kulfi in the city. Rich, creamy, and served on a leaf."
"Mocha","Gomti Nagar",9.0,"Chic, Open-air, Trendy",800,False,"Bossa Nova, Loaded Fries, Shakes","Very popular cafe with great outdoor seating. Good for large groups and long conversations."
"Sardar-Ji-Bakhsh Coffee","Gomti Nagar",8.5,"Modern cafe, Quiet, Work-friendly",400,False,"Iced Latte, Croissant","Great alternative to Starbucks. Good coffee blends and a quiet environment for doing assignments."
"Chacha Jaan Biryani","Near Ekana Stadium",3.0,"Street cart, Quick, Local",120,False,"Chicken Biryani","Very close to campus. Affordable and spicy biryani for a quick lunch between classes."
"Free Spirit","Gomti Nagar",9.5,"Bohemian, Live Music",600,False,"White Sauce Pasta, Mocktails","Nice bohemian vibes with regular live music gigs. Good place to unwind after exams."